'Based On' and 'Group By' can not be same,'على أساس' و 'المجموعة حسب' لا يمكن أن يكونا نفس الشيء,
'Days Since Last Order' must be greater than or equal to zero,"يجب أن تكون ""الأيام منذ آخر طلب"" أكبر من أو تساوي الصفر",
'Default {0} Account' in Company {1},"""حساب {0} الافتراضي"" في الشركة {1}",
'Entries' cannot be empty,المدخلات لا يمكن أن تكون فارغة,
'From Date' is required,من تاريخ (مطلوب),
'From Date' must be after 'To Date',"""من تاريخ "" يجب أن يكون بعد "" إلى تاريخ """,
'Has Serial No' can not be 'Yes' for non-stock item,"""لهُ رقم تسلسل""  لا يمكن ان يكون ""نعم"" لبند غير قابل للتخزين",
"'Inspection Required before Delivery' has disabled for the item {0}, no need to create the QI","تم تعطيل ""الفحص المطلوب قبل التسليم"" للعنصر {0}، ولا حاجة لإنشاء تحسين الجودة",
"'Inspection Required before Purchase' has disabled for the item {0}, no need to create the QI","تم تعطيل الخيار ""الفحص المطلوب قبل الشراء"" للعنصر {0}، ولا حاجة لإنشاء تحسين الجودة",
'Opening','افتتاحي',
'To Date' is required,' إلى تاريخ ' مطلوب,
'To Package No.' cannot be less than 'From Package No.',"""إلى رقم الحزمة."" لا يمكن أن يكون أقل من ""من رقم الحزمة"".",
'Update Stock' can not be checked because items are not delivered via {0},&quot;الأوراق المالية التحديث&quot; لا يمكن التحقق من أنه لم يتم تسليم المواد عن طريق {0},
'Update Stock' cannot be checked for fixed asset sale,لا يمكن التحقق من ' تحديث المخزون ' لبيع الأصول الثابتة\n<br>\n'Update Stock' cannot be checked for fixed asset sale,
'{0}' account is already used by {1}. Use another account.,الحساب '{0}' مستخدم بالفعل بواسطة {1}. استخدم حسابًا آخر.,
'{0}' has been already added.,تمت إضافة '{0}' بالفعل.,
'{0}' should be in company currency {1}.,يجب أن يكون '{0}' بعملة الشركة {1}.,
(A) Qty After Transaction,(أ) الكمية بعد المعاملة,
(B) Expected Qty After Transaction,(ب) الكمية المتوقعة بعد المعاملة,
(C) Total Qty in Queue,(ج) إجمالي الكمية في قائمة الانتظار,
(C) Total qty in queue,(ج) إجمالي الكمية في قائمة الانتظار,
(D) Balance Stock Value,(د) رصيد قيمة المخزون,
(Daily Yield * No of Units Produced) / 100,(العائد اليومي * عدد الوحدات المنتجة) / 100,
(E) Balance Stock Value in Queue,(هـ) رصيد قيمة المخزون في قائمة الانتظار,
(F) Change in Stock Value,(و) التغير في قيمة المخزون,
(Forecast),(توقعات),
(G) Sum of Change in Stock Value,(ز) مجموع التغير في قيمة المخزون,
(Good Units Produced / Total Units Produced) × 100,(الوحدات الجيدة المنتجة / إجمالي الوحدات المنتجة) × 100,
(H) Change in Stock Value (FIFO Queue),(ح) التغير في قيمة المخزون (قائمة انتظار FIFO),
(H) Valuation Rate,(ح) معدل التقييم,
(Hour Rate / 60) * Actual Operation Time,(سعر الساعة / 60) * وقت العمل الفعلي,
(I) Valuation Rate,(ط) معدل التقييم,
(J) Valuation Rate as per FIFO,(ي) معدل التقييم حسب ما يرد أولاً يصرف أولاً,
(K) Valuation = Value (D) ÷ Qty (A),(ك) التقييم = القيمة (د) ÷ الكمية (أ),
(Purchase Order + Material Request + Actual Expense),(أمر الشراء + طلب المواد + المصروفات الفعلية),
(Total Workstation Time / Manufacturing Time) * 60,(إجمالي وقت محطة العمل / وقت التصنيع) * 60,
(including),(تتضمن),
(none),(لا شيء),
* Will be calculated in the transaction.,* سيتم احتسابه في المعاملة.,
0 - 30 Days,0 - 30 يومًا,
0-30,0-30,
0-30 Days,0-30 يومًا,
1 Loyalty Points = How much base currency?,1 نقاط الولاء = كم العملة الأساسية؟,
1 hr,1 ساعة,
1{0},1{0},
2 Yearly,عامين,
3 Yearly,3 سنويا,
30 - 60 Days,30 - 60 يوما,
30 mins,30 دقيقة,
30-60,30-60,
30-60 Days,30-60 يوما,
6 hrs,6 ساعات,
60 - 90 Days,60 - 90 يومًا,
60-90,60-90,
60-90 Days,60-90 يوما,
90 - 120 Days,90 - 120 يومًا,
90 Above,90 أعلاه,
<0,<0,0
"<b>Cannot create asset.</b><br><br>You're trying to create <b>{0} asset(s)</b> from {2} {3}.<br>However, only <b>{1} item(s)</b> were purchased and <b>{4} asset(s)</b> already exist against {5}.",<b>لا يمكن إنشاء أصل.</b><br><br>أنت تحاول إنشاء <b>{0} أصل (أصول)</b> من {2} {3}.<br>ومع ذلك، تم شراء <b>{1} عنصر (عناصر)</b> فقط ويوجد <b>{4} أصل (أصول)</b> بالفعل مقابل {5}.,
<b>From Time</b> cannot be later than <b>To Time</b> for {0},<b>من الوقت</b> لا يمكن أن يكون بعد من <b>إلى الوقت</b> لـ {0},
<b>Row #{0}:</b> Bundle {1} in warehouse {2} has insufficient packed items:<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>,<b>الصف رقم{0}:</b> تحتوي الحزمة {1} في المستودع {2} على عناصر غير كافية:<br><div style='margin-top: 15px;'><ul style='line-height: 0.8;'>{3}</ul></div>,
"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<ر>
<h4>ملاحظة</h4>
<ul>
<لي>
يمكنك استخدام <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">علامات Jinja</a> في حقول <b>الموضوع</b> و<b>النص</b> للقيم الديناميكية.
</لي><لي>
    جميع الحقول في نوع المستند هذا متاحة ضمن كائن <b>doc</b> وجميع الحقول الخاصة بالعميل الذي سينتقل إليه البريد متاحة ضمن كائن <b>العميل</b>.
</li></ul>
<h4> أمثلة</h4>
<!-- {% خام %} -->
<ul>
    <li><b>الموضوع</b>:<br><br><pre><code>كشف حسابات لـ {{ customer.customer_name }}</code></pre><br></li>
    <li><b>الجسم</b>: <br><br>
<pre><code>مرحبًا {{ customer.customer_name }}،<br>PFA كشف حسابك من {{ doc.from_date }} إلى {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% إندراو %} -->",
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">تفاصيل أخرى</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">لم يتم العثور على معاملات بنكية مطابقة</div>",
"<div class=""text-muted text-center"">{0}</div>","<div class=""text-muted text-center"">{0}</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<ديف>
<h3> جميع الأبعاد بالسنتيمتر فقط </h3>
</div>",
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>","<h3>حول حزمة المنتج</h3>

<p>تجميع مجموعة من <b>العناصر</b> في <b>عنصر</b> آخر. يكون هذا مفيدًا إذا كنت تقوم بتجميع <b>عناصر</b> معينة في حزمة وتحتفظ بمخزون من <b>العناصر</b> المعبأة وليس <b>العناصر</b> المجمعة.</p>
<p>ستحتوي <b>العنصر</b> على <code>عنصر مخزون</code> على أنه <b>لا</b> و<code>عنصر مبيعات</code> على أنه <b>نعم</b>.</p>
<h4>مثال:</h4>
<p>إذا كنت تبيع أجهزة الكمبيوتر المحمولة وحقائب الظهر بشكل منفصل ولديك سعر خاص إذا اشترى العميل كليهما، فسيكون الكمبيوتر المحمول + حقيبة الظهر عنصرًا جديدًا في حزمة المنتج.</p>",
"<h3>Currency Exchange Settings Help</h3>
<p>There are 3 variables that could be used within the endpoint, result key and in values of the parameter.</p>
<p>Exchange rate between {from_currency} and {to_currency} on {transaction_date} is fetched by the API.</p>
<p>Example: If your endpoint is exchange.com/2021-08-01, then, you will have to input exchange.com/{transaction_date}</p>","<h3>مساعدة إعدادات صرف العملات</h3>
<p>هناك 3 متغيرات يمكن استخدامها في نقطة النهاية ومفتاح النتيجة وفي قيم المعلمة.</p>
<p>يتم جلب سعر الصرف بين {from_currency} و{to_currency} في {transaction_date} بواسطة واجهة برمجة التطبيقات.</p>
<p>مثال: إذا كانت نقطة النهاية الخاصة بك هي Exchange.com/2021-08-01، فسيتعين عليك إدخال Exchange.com/{transaction_date}</p>",
"<h4>Body Text and Closing Text Example</h4>

<div>We have noticed that you have not yet paid invoice {{sales_invoice}} for {{frappe.db.get_value(""Currency"", currency, ""symbol"")}} {{outstanding_amount}}. This is a friendly reminder that the invoice was due on {{due_date}}. Please pay the amount due immediately to avoid any further dunning cost.</div>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your template are the fields in the document. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>مثال للنص الأساسي والنص الختامي</h4>

<div>لقد لاحظنا أنك لم تدفع بعد الفاتورة {{sales_invoice}} بقيمة {{frappe.db.get_value(""Currency"",currency, ""symbol"")}} {{outstanding_amount}}. هذا تذكير ودي بأن الفاتورة كانت مستحقة في {{due_date}}. يرجى دفع المبلغ المستحق على الفور لتجنب أي تكاليف مطالبة أخرى.</div>

<h4>كيفية الحصول على أسماء الحقول</h4>

<p>أسماء الحقول التي يمكنك استخدامها في القالب الخاص بك هي الحقول الموجودة في المستند. يمكنك معرفة حقول أي مستندات عبر الإعداد > تخصيص عرض النموذج واختيار نوع المستند (مثل فاتورة المبيعات)</p>

<h4>القولبة</h4>

<p>يتم تجميع القوالب باستخدام لغة Jinja Templating. لمعرفة المزيد عن جينجا، <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">اقرأ هذه الوثائق.</a></p>",
"<h4>Contract Template Example</h4>

<pre>Contract for Customer {{ party_name }}

-Valid From : {{ start_date }} 
-Valid To : {{ end_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The field names you can use in your Contract Template are the fields in the Contract for which you are creating the template. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Contract)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>مثال لنموذج العقد</h4>

<pre>عقد للعميل {{ party_name }}

-صالح من: {{start_date }} 
- صالح لـ : {{ end_date }}
</قبل>

<h4>كيفية الحصول على أسماء الحقول</h4>

<p>أسماء الحقول التي يمكنك استخدامها في قالب العقد الخاص بك هي الحقول الموجودة في العقد الذي تقوم بإنشاء القالب له. يمكنك معرفة حقول أي مستندات عبر الإعداد > تخصيص طريقة عرض النموذج واختيار نوع المستند (مثل العقد)</p>

<h4>القولبة</h4>

<p>يتم تجميع القوالب باستخدام لغة Jinja Templating. لمعرفة المزيد عن جينجا، <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">اقرأ هذه الوثائق.</a></p>",
"<h4>Standard Terms and Conditions Example</h4>

<pre>Delivery Terms for Order number {{ name }}

-Order Date : {{ transaction_date }} 
-Expected Delivery Date : {{ delivery_date }}
</pre>

<h4>How to get fieldnames</h4>

<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>

<h4>Templating</h4>

<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">read this documentation.</a></p>","<h4>مثال على الشروط والأحكام القياسية</h4>

<pre>شروط التسليم للطلب رقم {{ name }}

-تاريخ الطلب : {{ تاريخ_المعاملة }} 
-تاريخ التسليم المتوقع : {{ موعد_التسليم }}
</قبل>

<h4>كيفية الحصول على أسماء الحقول</h4>

<p>أسماء الحقول التي يمكنك استخدامها في قالب البريد الإلكتروني الخاص بك هي الحقول الموجودة في المستند الذي ترسل منه البريد الإلكتروني. يمكنك معرفة حقول أي مستندات عبر الإعداد > تخصيص عرض النموذج واختيار نوع المستند (مثل فاتورة المبيعات)</p>

<h4>القولبة</h4>

<p>يتم تجميع القوالب باستخدام لغة Jinja Templating. لمعرفة المزيد عن جينجا، <a class=""strong"" href=""http://jinja.pocoo.org/docs/dev/templates/"">اقرأ هذه الوثائق.</a></p>",
"<h5 class=""text-muted uppercase"">Or</h5>","<h5 class=""text-muted Uppercase"">أو</h5>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Account Number Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">إعدادات رقم الحساب</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Amount In Words</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">المبلغ بالكلمات</label>",
"<label class=""control-label"" style=""margin-bottom: 0px;"">Date Settings</label>","<label class=""control-label"" style=""margin-bottom: 0px;"">إعدادات التاريخ</label>",
<li>Clearance date must be after cheque date for row(s): {0}</li>,<li>يجب أن يكون تاريخ التخليص بعد تاريخ فحص الصفوف: {0}</li>,
<li>Item {0} in row(s) {1} billed more than {2}</li>,<li>العنصر {0} في الصفوف {1} تمت فوترته بأكثر من {2}</li>,
"<li>Packed Item {0}: Required {1}, Available {2}</li>",<li>العنصر المعبأ {0}: مطلوب {1}، متاح {2}</li>,
<li>Payment document required for row(s): {0}</li>,<li>مستند الدفع مطلوب للصف (الصفوف): {0}</li>,
<li>{}</li>,<لي>{}</li>,
<p>Cannot overbill for the following Items:</p>,<p>لا يجوز المبالغة في فاتورة العناصر التالية:</p>,
<p>Following {0}s doesn't belong to Company {1} :</p>,<p>لا تنتمي {0} التالية إلى الشركة {1} :</p>,
"<p>In your <b>Email Template</b>, you can use the following special variables:
</p>
<ul>
        <li>
            <code>{{ update_password_link }}</code>: A link where your supplier can set a new password to log into your portal.
        </li>
        <li>
            <code>{{ portal_link }}</code>: A link to this RFQ in your supplier portal.
        </li>
        <li>
            <code>{{ supplier_name }}</code>: The company name of your supplier.
        </li>
        <li>
            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: The contact person of your supplier.
        </li><li>
            <code>{{ user_fullname }}</code>: Your full name.
        </li>
    </ul>
<p></p>
<p>Apart from these, you can access all values in this RFQ, like <code>{{ message_for_supplier }}</code> or <code>{{ terms }}</code>.</p>","<p>في <b>قالب البريد الإلكتروني</b>، يمكنك استخدام المتغيرات الخاصة التالية:
</ص>
<ul>
        <لي>
            <code>{{ update_password_link }}</code>: رابط يمكن للمورد الخاص بك تعيين كلمة مرور جديدة لتسجيل الدخول إلى بوابتك الإلكترونية.
        </لي>
        <لي>
            <code>{{ Portal_link }}</code>: رابط لطلب عرض الأسعار هذا في بوابة المورد الخاصة بك.
        </لي>
        <لي>
            <code>{{ المورد_اسم }}</code>: اسم الشركة الخاصة بالمورد الخاص بك.
        </لي>
        <لي>
            <code>{{ contact.salutation }} {{ contact.last_name }}</code>: جهة الاتصال الخاصة بالمورد الخاص بك.
        </لي><لي>
            <code>{{ user_fullname }}</code>: اسمك الكامل.
        </لي>
    </ul>
<p></p>
<p>وبصرف النظر عن ذلك، يمكنك الوصول إلى جميع القيم في طلب عرض الأسعار هذا، مثل <code>{{ message_for_supplier }}</code> أو <code>{{ term }}</code>.</p>",
<p>Please correct the following row(s):</p><ul>,<p>يُرجى تصحيح الصفوف التالية:</p><ul>,
<p>Posting Date {0} cannot be before Purchase Order date for the following:</p><ul>,<p>لا يمكن أن يكون تاريخ الترحيل {0} قبل تاريخ طلب الشراء لما يلي:</p><ul>,
"<p>Price List Rate has not been set as editable in Selling Settings. In this scenario, setting <strong>Update Price List Based On</strong> to <strong>Price List Rate</strong> will prevent auto-updation of Item Price.</p>Are you sure you want to continue?",<p>لم يتم ضبط سعر قائمة الأسعار على أنه قابل للتعديل في إعدادات البيع. في هذا السيناريو، سيؤدي تعيين <strong>تحديث قائمة الأسعار بناءً على</strong> إلى <strong>سعر قائمة الأسعار</strong> إلى منع التحديث التلقائي لسعر العنصر.</p>هل أنت متأكد من رغبتك في المتابعة؟,
"<p>To allow over-billing, please set allowance in Accounts Settings.</p>",<p>للسماح بإصدار فواتير زائدة، يرجى ضبط المخصص في إعدادات الحسابات.</p>,
"<pre><h5>Message Example</h5>

&lt;p&gt; Thank You for being a part of {{ doc.company }}! We hope you are enjoying the service.&lt;/p&gt;

&lt;p&gt; Please find enclosed the E Bill statement. The outstanding amount is {{ doc.grand_total }}.&lt;/p&gt;

&lt;p&gt; We don't want you to be spending time running around in order to pay for your Bill.<br>After all, life is beautiful and the time you have in hand should be spent to enjoy it!<br>So here are our little ways to help you get more time for life! &lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;

</pre>
","<pre><h5>مثال للرسالة</h5>

<p> شكرًا لكونك جزءًا من {{ doc.company }}! نأمل أن تستمتع بالخدمة.</p>

<p> يرجى الاطلاع على كشف الفاتورة الإلكترونية المرفق. المبلغ المستحق هو {{ doc.grand_total }}.</p>

<p> لا نريدك أن تقضي وقتًا في الجري لدفع فاتورتك.<br>في نهاية المطاف، الحياة جميلة ويجب قضاء الوقت المتاح لك للاستمتاع بها!<br>لذا إليك طرقنا الصغيرة لمساعدتك في الحصول على مزيد من الوقت مدى الحياة! </ص>

<a href=""{{ Payment_url }}""> انقر هنا للدفع </a>

</قبل>",
"<pre><h5>Message Example</h5>

&lt;p&gt;Dear {{ doc.contact_person }},&lt;/p&gt;

&lt;p&gt;Requesting payment for {{ doc.doctype }}, {{ doc.name }} for {{ doc.grand_total }}.&lt;/p&gt;

&lt;a href=""{{ payment_url }}""&gt; click here to pay &lt;/a&gt;

</pre>
","<pre><h5>مثال للرسالة</h5>

<p>عزيزي {{ doc.contact_person }}،</p>

<p>طلب الدفع مقابل {{ doc.doctype }}، {{ doc.name }} مقابل {{ doc.grand_total }}.</p>

<a href=""{{ Payment_url }}""> انقر هنا للدفع </a>

</قبل>",
<strong>Grand Total:</strong> {0},<strong>الإجمالي الإجمالي:</strong> {0},
<strong>Outstanding Amount:</strong> {0},<strong>المبلغ المستحق:</strong> {0},
"<table class=""table table-bordered table-condensed"">
<thead>
  <tr>
         <th class=""table-sr"" style=""width: 50%;"">Child Document</th>
         <th class=""table-sr"" style=""width: 50%;"">Non Child Document</th>
   </tr>
</thead>
<tbody>
<tr>
         <td>
                  <p> To access parent document field use parent.fieldname and to access child table document field use doc.fieldname </p>

         </td>
         <td>
                    <p>To access document field use doc.fieldname </p>
         </td>
</tr>
<tr>
        <td>
                   <p><b>Example: </b> parent.doctype == ""Stock Entry"" and doc.item_code == ""Test"" </p>

        </td>
         <td>
                   <p><b>Example: </b> doc.doctype == ""Stock Entry"" and doc.purpose == ""Manufacture""</p>    
          </td>
</tr>

</tbody>
</table>






","<فئة الجدول = ""جدول الجدول بحدود الجدول المكثف"">
<الرأس>
  <تر>
         <th class=""table-sr"" style=""width: 50%;"">مستند فرعي</th>
         <th class=""table-sr"" style=""width: 50%;"">مستند غير تابع</th>
   </tr>
</الرأس>
<الجسم>
<تر>
         <TD>
                  <p> للوصول إلى حقل المستند الأصلي استخدم اسم الحقل الأصلي وللوصول إلى حقل مستند الجدول الفرعي استخدم doc.fieldname </p>

         </TD>
         <TD>
                    <p>للوصول إلى حقل المستند، استخدم doc.fieldname </p>
         </TD>
</tr>
<تر>
        <TD>
                   <p><b>مثال: </b>parent.doctype == ""إدخال المخزون"" وdoc.item_code == ""اختبار"" </p>

        </TD>
         <TD>
                   <p><b>مثال: </b> doc.doctype == ""إدخال المخزون"" وdoc. Purpose == ""التصنيع""</p>    
          </TD>
</tr>

</tbody>
</الجدول>",
A - B,أ - ب,
A - C,أ - ج,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,مجموعة الزبائن موجودة بنفس الاسم أرجو تغير اسم العميل أو اعادة تسمية مجموعة الزبائن\n<br>\nA Customer Group exists with same name please change the Customer name or rename the Customer Group,
A Holiday List can be added to exclude counting these days for the Workstation.,يمكن إضافة قائمة العطلات لاستبعاد حساب هذه الأيام لمحطة العمل.,
A Lead requires either a person's name or an organization's name,يتطلب العميل المتوقع اسم شخص أو اسم مؤسسة,
A Packing Slip can only be created for Draft Delivery Note.,لا يمكن إنشاء إيصال التعبئة إلا لمسودة مذكرة التسليم.,
"A Price List is a collection of Item Prices either Selling, Buying, or both",قائمة الأسعار عبارة عن مجموعة من أسعار العناصر إما البيع أو الشراء أو كليهما,
"A Product or a Service that is bought, sold or kept in stock.",منتج أو خدمة يتم شراؤها أو بيعها أو الاحتفاظ بها في المخزون.,
A Reconciliation Job {0} is running for the same filters. Cannot reconcile now,يتم تشغيل مهمة التسوية {0} لنفس عوامل التصفية. لا يمكن التوفيق الآن,
A Reverse Journal Entry {0} already exists for this Journal Entry.,يوجد بالفعل إدخال دفتر يومية عكسي {0} لإدخال دفتر اليومية هذا.,
A condition for a Shipping Rule,شرط لقاعدة الشحن,
A customer must have primary contact email.,يجب أن يكون لدى العميل بريد إلكتروني أساسي لجهة الاتصال.,
A driver must be set to submit.,يجب تعيين برنامج التشغيل لتقديمه.,
A logical Warehouse against which stock entries are made.,مستودع منطقي يتم من خلاله إجراء إدخالات المخزون.,
A naming series conflict occurred while creating serial numbers. Please change the naming series for the item {0}.,حدث تعارض في سلسلة التسمية أثناء إنشاء الأرقام التسلسلية. برجاء تغيير سلسلة التسمية للعنصر {0}.,
A new appointment has been created for you with {0},تم إنشاء موعد جديد لك من خلال {0},
A template with tax category {0} already exists. Only one template is allowed with each tax category,يوجد بالفعل قالب بفئة الضريبة {0}. يُسمح بقالب واحد فقط مع كل فئة ضريبية,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,موزع / تاجر / وكيل بالعمولة / شركة تابعة / بائع طرف ثالث يبيع منتجات الشركة مقابل عمولة.,
A+,+A,
A-,-A,
A4,A4,
AB+,+AB,
AB-,-AB,
ACC-ADS-.YYYY.-,ACC-ADS-.YYYY.-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASA-.YYYY.-,ACC-ASA-.YYYY.-,
ACC-ASC-.YYYY.-,ACC-ASC-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
ALL records will be deleted (entire DocType cleared),سيتم حذف جميع السجلات (تم مسح DocType بالكامل),
AMC Expiry (Serial),انتهاء صلاحية AMC (المسلسل),
AMC Expiry Date,AMC تاريخ انتهاء الاشتراك,
API,واجهة برمجة التطبيقات,
API Details,تفاصيل واجهة برمجة التطبيقات,
API Endpoint,نقطة وصولAPI,
API Key,مفتاح API,
AWB Number,رقم ايه دبليو بي,
Abbr,أبر,
Abbreviation,اسم مختصر,
Abbreviation already used for another company,الاختصار يستخدم بالفعل لشركة أخرى\n<br>\nAbbreviation already used for another company,
Abbreviation is mandatory,الاسم المختصر إلزامي,
Abbreviation: {0} must appear only once,الاختصار: يجب أن يظهر {0} مرة واحدة فقط,
About,عن,
About {0} minute remaining,متبقي حوالي {0} دقيقة,
About {0} minutes remaining,متبقي حوالي {0} دقيقة,
About {0} seconds remaining,متبقي حوالي {0} ثانية,
